,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,airconditioning,freeparking,kitchen,petsallowed,wifi,score,city,country,reviews
0,0,44,2,1,1.0,1.0,0,0,1,0,1,4.81,losangles,US,180
1,1,56,4,1,2.0,2.5,0,0,0,0,1,0.0,losangles,US,0
2,2,94,6,1,3.0,1.0,0,0,1,0,1,0.0,losangles,US,0
3,3,56,2,1,1.0,1.0,0,1,1,0,1,0.0,losangles,US,0
4,4,60,4,1,1.0,1.0,0,1,1,0,1,0.0,losangles,US,0
5,5,58,3,1,1.0,1.0,0,0,1,0,1,0.0,losangles,US,0
6,6,48,2,1,1.0,1.0,0,1,1,0,1,0.0,losangles,US,0
7,7,52,4,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
8,8,71,3,1,2.0,2.5,0,1,1,0,1,0.0,losangles,US,0
9,9,62,2,1,1.0,1.0,0,0,1,0,1,0.0,losangles,US,0
10,10,55,3,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
11,11,59,3,2,2.0,1.0,0,1,1,0,1,5.0,losangles,US,4
12,12,70,2,1,1.0,1.0,0,1,1,0,1,0.0,losangles,US,0
13,13,60,4,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
14,14,61,2,1,1.0,1.0,0,0,1,0,1,0.0,losangles,US,0
15,15,48,2,1,1.0,1.0,0,0,0,0,1,0.0,losangles,US,0
16,16,62,2,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
17,17,64,4,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
18,18,54,3,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
19,19,57,3,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
20,20,175,4,1,2.0,1.0,0,1,1,1,1,0.0,losangles,US,0
21,21,90,4,2,2.0,1.0,1,1,1,0,1,0.0,losangles,US,0
22,22,68,2,1,1.0,1.0,0,0,1,0,1,4.57,losangles,US,8
23,23,15,2,1,1.0,1.0,1,0,1,0,1,4.98,losangles,US,120
24,24,58,4,1,2.0,1.0,1,0,1,1,1,0.0,losangles,US,0
25,25,75,4,1,2.0,1.0,1,0,1,1,1,0.0,losangles,US,0
26,26,99,2,1,1.0,1.0,1,0,1,0,1,0.0,losangles,US,0
27,27,74,4,1,2.0,1.0,1,0,1,1,1,0.0,losangles,US,0
28,28,90,4,2,1.0,2.0,0,0,1,0,0,0.0,losangles,US,0
29,29,39,2,1,1.0,1.0,1,1,1,0,1,4.83,losangles,US,189
30,30,35,2,1,1.0,1.0,1,0,1,0,1,4.22,losangles,US,23
31,31,33,2,1,1.0,1.0,0,0,0,0,1,0.0,losangles,US,0
32,32,100,4,1,2.0,1.0,1,0,1,0,1,0.0,losangles,US,0
33,33,67,2,1,1.0,1.0,1,1,1,0,1,3.6,losangles,US,5
34,34,115,2,1,2.0,1.0,1,0,1,0,1,4.27,losangles,US,73
35,35,58,4,1,2.0,1.0,1,0,1,1,1,0.0,losangles,US,0
