,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
0,0,44,2,1,1,1,4.81,180,1,0,1,0,1,tokyo,Japan
1,1,61,2,1,1,1,0.0,0,0,0,0,0,1,tokyo,Japan
2,2,60,3,1,2,1,4.95,58,1,0,0,0,1,tokyo,Japan
3,3,56,4,1,2,2.5,0.0,0,1,0,0,1,1,tokyo,Japan
4,4,60,4,1,1,1,0.0,0,0,0,1,0,1,tokyo,Japan
5,5,56,2,1,1,1,0.0,0,1,0,0,1,1,tokyo,Japan
6,6,58,3,1,1,1,0.0,0,1,0,0,1,1,tokyo,Japan
7,7,52,4,1,2,1,0.0,0,1,0,1,1,1,tokyo,Japan
8,8,48,2,1,1,1,0.0,0,1,0,1,0,1,tokyo,Japan
9,9,62,2,1,1,1,0.0,0,1,0,0,1,1,tokyo,Japan
10,10,59,3,2,2,1,5.0,4,1,0,1,1,1,tokyo,Japan
11,11,57,3,1,2,1,0.0,0,1,0,1,1,1,tokyo,Japan
12,12,97,2,1,1,1,0.0,0,0,0,1,1,1,tokyo,Japan
13,13,60,2,1,1,1,0.0,0,1,0,1,0,1,tokyo,Japan
14,14,70,2,1,1,1,0.0,0,1,0,0,1,1,tokyo,Japan
15,15,45,2,1,1,1,4.77,39,1,0,1,0,1,tokyo,Japan
16,16,48,2,1,1,1,0.0,0,1,0,0,1,1,tokyo,Japan
17,17,35,2,1,1,1,4.22,23,1,0,1,0,1,tokyo,Japan
18,18,111,2,1,1,1,0.0,0,1,0,0,1,1,tokyo,Japan
19,19,52,4,1,2,1,0.0,0,1,0,1,1,1,tokyo,Japan
20,20,48,2,1,0,1,0.0,0,1,0,0,0,1,tokyo,Japan
21,21,67,2,1,1,1,3.83,6,1,0,1,0,1,tokyo,Japan
22,22,40,2,1,1,2,4.21,346,1,0,1,0,1,tokyo,Japan
23,23,37,2,1,1,1,5.0,4,1,0,0,0,1,tokyo,Japan
24,24,39,2,1,1,1,4.83,189,1,0,0,0,1,tokyo,Japan
25,25,35,2,1,1,1,4.71,7,1,0,1,0,1,tokyo,Japan
26,26,74,4,1,2,1,0.0,0,1,0,1,1,1,tokyo,Japan
27,27,35,2,1,2,2,0.0,0,0,0,1,0,1,tokyo,Japan
28,28,115,2,1,1,1,0.0,0,1,0,1,0,1,tokyo,Japan
29,29,80,3,1,1,1.5,0.0,0,1,0,0,0,1,tokyo,Japan
30,30,58,4,1,2,1,0.0,0,1,0,1,1,1,tokyo,Japan
31,31,35,2,1,1,1,3.83,23,1,0,1,0,1,tokyo,Japan
32,32,50,2,1,1,1,4.86,7,1,0,0,1,1,tokyo,Japan
33,33,41,2,1,1,3,4.28,276,1,0,1,0,1,tokyo,Japan
34,34,52,2,1,1,1,4.94,36,1,0,1,0,1,tokyo,Japan
35,35,46,2,1,1,1.5,0.0,0,1,0,1,0,1,tokyo,Japan
36,36,175,4,1,2,1,0.0,0,0,0,0,1,1,tokyo,Japan
37,37,58,4,1,2,1,0.0,0,1,0,1,1,1,tokyo,Japan
38,38,69,2,1,1,1,4.9,229,1,0,0,0,1,tokyo,Japan
39,39,43,3,1,1,1,0.0,0,0,0,1,1,1,tokyo,Japan
40,40,29,2,1,3,2,0.0,0,0,0,1,0,1,tokyo,Japan
41,41,50,2,1,1,1,4.46,152,1,0,0,0,1,tokyo,Japan
42,42,43,3,1,1,1,0.0,0,0,0,1,1,1,tokyo,Japan
43,43,100,4,1,1,1,3.8,5,1,0,0,0,1,tokyo,Japan
44,44,35,2,1,1,1,4.71,7,1,0,1,0,1,tokyo,Japan
45,45,89,4,1,2,1,4.83,149,1,0,1,0,1,tokyo,Japan
