,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
0,0,44,2,1,1,1.0,4.81,180,0,0,1,0,1,barcelona,Spain
1,1,111,2,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
2,2,62,2,1,1,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
3,3,116,4,1,2,1.0,4.93,41,0,1,1,0,1,barcelona,Spain
4,4,58,3,1,1,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
5,5,70,2,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
6,6,60,4,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
7,7,119,3,1,2,1.0,4.99,344,0,1,1,0,1,barcelona,Spain
8,8,97,2,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
9,9,119,4,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
10,10,52,4,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
11,11,60,2,1,1,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
12,12,60,3,1,2,1.0,4.95,58,0,0,0,0,1,barcelona,Spain
13,13,50,2,1,1,1.0,5.0,4,0,0,0,0,1,barcelona,Spain
14,14,62,2,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
15,15,43,3,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
16,16,57,3,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
17,17,48,2,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
18,18,56,4,1,2,2.5,0.0,0,0,0,0,0,1,barcelona,Spain
19,19,54,3,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
20,20,58,4,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
21,21,35,2,1,2,2.0,0.0,0,0,0,1,0,1,barcelona,Spain
22,22,35,2,1,1,1.0,3.83,23,0,0,1,0,1,barcelona,Spain
23,23,69,2,1,1,1.0,4.9,229,0,1,1,0,1,barcelona,Spain
24,24,39,2,1,1,1.0,4.83,189,0,1,1,0,1,barcelona,Spain
25,25,74,4,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
26,26,69,2,1,1,1.0,4.96,334,0,1,1,0,1,barcelona,Spain
27,27,58,4,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
28,28,65,2,1,1,1.0,4.63,208,0,1,1,0,1,barcelona,Spain
29,29,58,3,1,2,1.0,4.91,80,0,1,1,0,1,barcelona,Spain
30,30,40,2,1,1,2.0,4.21,346,0,1,1,0,1,barcelona,Spain
31,31,85,2,1,1,1.0,4.82,113,0,0,1,0,1,barcelona,Spain
32,32,47,2,1,1,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
33,33,175,4,1,2,1.0,0.0,0,0,1,1,0,1,barcelona,Spain
34,34,55,2,1,1,1.0,4.94,50,0,1,0,0,1,barcelona,Spain
35,35,65,2,1,1,1.0,4.84,49,0,0,0,0,1,barcelona,Spain
36,36,48,2,1,1,1.0,4.69,130,0,1,0,0,1,barcelona,Spain
37,37,75,4,1,2,1.0,0.0,0,0,0,1,0,1,barcelona,Spain
38,38,46,2,1,1,1.5,0.0,0,0,1,1,0,1,barcelona,Spain
39,39,125,4,1,1,1.0,4.69,61,0,0,1,0,1,barcelona,Spain
40,40,115,2,1,0,1.0,0.0,0,1,0,0,1,1,barcelona,Spain
41,41,144,4,1,0,1.0,5.0,4,1,0,1,0,1,barcelona,Spain
42,42,74,2,1,1,1.0,4.67,3,1,1,0,0,1,barcelona,Spain
43,43,77,4,1,2,1.0,4.87,224,1,0,1,0,1,barcelona,Spain
44,44,48,2,1,1,1.0,4.69,130,1,0,0,1,1,barcelona,Spain
45,45,95,2,1,1,1.0,4.38,13,1,0,0,1,1,barcelona,Spain
46,46,85,2,1,1,1.0,4.91,362,1,0,0,1,1,barcelona,Spain
47,47,115,2,1,1,1.0,0.0,0,1,0,1,0,1,barcelona,Spain
48,48,115,3,1,2,1.0,4.88,129,1,0,0,0,1,barcelona,Spain
49,49,35,2,1,1,1.0,4.88,201,1,1,1,0,1,barcelona,Spain
50,50,75,2,1,1,1.0,4.75,4,0,0,0,0,1,barcelona,Spain
51,51,116,3,1,2,1.0,4.82,131,1,0,0,0,1,barcelona,Spain
52,52,113,3,1,2,1.0,4.86,63,1,0,0,0,1,barcelona,Spain
53,53,140,2,1,1,1.0,0.0,0,1,0,0,0,1,barcelona,Spain
54,54,100,4,1,2,1.0,0.0,0,1,0,0,0,1,barcelona,Spain
55,55,95,2,1,1,1.0,4.93,87,1,0,1,0,1,barcelona,Spain
56,56,83,4,1,2,1.0,4.4,25,1,0,0,0,1,barcelona,Spain
57,57,145,6,2,2,2.0,0.0,0,1,0,0,0,1,barcelona,Spain
58,58,70,2,1,2,1.0,0.0,0,1,0,1,0,1,barcelona,Spain
59,59,103,2,1,2,1.0,4.73,626,1,0,0,1,1,barcelona,Spain
60,60,89,3,1,1,1.0,4.87,15,1,0,0,0,1,barcelona,Spain
61,61,94,4,1,1,1.0,4.79,230,0,1,1,0,1,barcelona,Spain
62,62,184,2,1,1,1.5,4.91,677,0,0,1,0,1,barcelona,Spain
63,63,54,3,1,0,0.0,4.88,25,1,0,1,0,1,barcelona,Spain
64,64,88,3,1,2,1.0,4.83,59,1,0,1,0,1,barcelona,Spain
65,65,141,4,1,2,1.0,4.71,31,0,0,0,0,1,barcelona,Spain
66,66,79,4,1,2,1.0,4.9,263,1,0,1,0,1,barcelona,Spain
67,67,94,3,1,1,1.0,5.0,6,1,0,1,0,1,barcelona,Spain
68,68,141,3,1,2,1.0,4.78,45,1,0,0,0,1,barcelona,Spain
69,69,99,4,2,2,1.0,4.91,69,1,0,0,0,1,barcelona,Spain
70,70,106,3,1,1,1.0,4.97,110,1,0,0,0,1,barcelona,Spain
71,71,108,2,1,1,1.0,4.88,125,1,0,0,0,1,barcelona,Spain
72,72,86,3,1,2,1.0,4.81,147,1,0,1,0,1,barcelona,Spain
73,73,64,4,1,2,1.0,0.0,0,1,0,1,1,1,barcelona,Spain
74,74,106,2,1,1,1.0,4.91,322,1,0,1,0,1,barcelona,Spain
75,75,67,2,1,1,1.0,3.83,6,1,0,1,0,1,barcelona,Spain
76,76,87,4,1,3,1.0,4.79,91,1,0,1,0,1,barcelona,Spain
77,77,85,2,1,1,1.0,4.58,19,1,0,1,0,1,barcelona,Spain
78,78,76,2,1,2,1.0,4.85,260,1,0,1,0,1,barcelona,Spain
79,79,69,4,1,3,1.0,4.9,233,1,1,0,0,1,barcelona,Spain
80,80,75,4,1,1,1.0,4.82,76,1,0,1,0,1,barcelona,Spain
81,81,56,2,1,1,1.0,4.68,167,1,0,1,0,1,barcelona,Spain
82,82,108,3,1,1,1.0,4.89,365,0,0,0,0,1,barcelona,Spain
83,83,47,2,1,1,1.0,0.0,0,0,0,1,1,1,barcelona,Spain
84,84,125,3,1,2,1.0,4.97,229,1,0,1,0,1,barcelona,Spain
85,85,134,3,1,1,1.0,4.82,137,1,0,0,0,1,barcelona,Spain
