,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
0,0,56,4,1,2.0,2.5,4.81,0,1,0,0,1,1,Birmingham,England
1,1,94,6,1,3.0,1.0,0.0,0,1,0,0,0,1,Birmingham,England
2,2,60,4,1,1.0,1.0,0.0,0,0,0,1,0,1,Birmingham,England
3,3,56,2,1,1.0,1.0,0.0,0,1,0,0,1,1,Birmingham,England
4,4,58,3,1,1.0,1.0,0.0,0,1,0,0,1,1,Birmingham,England
5,5,48,2,1,1.0,1.0,0.0,0,1,0,1,0,1,Birmingham,England
6,6,44,2,1,1.0,1.0,0.0,180,1,0,1,0,1,Birmingham,England
7,7,52,4,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
8,8,71,3,1,2.0,2.5,0.0,0,1,0,0,0,1,Birmingham,England
9,9,62,2,1,1.0,1.0,0.0,0,1,0,0,1,1,Birmingham,England
10,10,55,3,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
11,11,59,3,2,2.0,1.0,5.0,4,1,0,1,1,1,Birmingham,England
12,12,70,2,1,1.0,1.0,0.0,0,1,0,0,1,1,Birmingham,England
13,13,60,4,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
14,14,61,2,1,1.0,1.0,0.0,0,0,0,0,0,1,Birmingham,England
15,15,48,2,1,1.0,1.0,0.0,0,1,0,0,1,1,Birmingham,England
16,16,62,2,1,2.0,1.0,0.0,0,0,0,0,1,1,Birmingham,England
17,17,64,4,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
18,18,54,3,1,2.0,1.0,0.0,0,1,0,0,1,1,Birmingham,England
19,19,57,3,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
20,20,175,4,1,2.0,1.0,4.81,0,0,1,1,1,1,Birmingham,England
21,21,90,4,2,2.0,1.0,0.0,0,1,1,1,0,1,Birmingham,England
22,22,68,2,1,1.0,1.0,0.0,8,0,0,1,0,1,Birmingham,England
23,23,15,2,1,1.0,1.0,0.0,120,1,0,1,0,1,Birmingham,England
24,24,58,4,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
25,25,75,4,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
26,26,99,2,1,1.0,1.0,0.0,0,1,0,1,0,1,Birmingham,England
27,27,74,4,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
28,28,90,4,2,1.0,2.0,0.0,0,0,0,1,0,0,Birmingham,England
29,29,39,2,1,1.0,1.0,0.0,189,1,1,1,0,1,Birmingham,England
30,30,42,2,1,1.0,4.0,0.0,212,1,0,1,0,1,Birmingham,England
31,31,35,2,1,1.0,1.0,5.0,23,1,0,1,0,1,Birmingham,England
32,32,33,2,1,1.0,1.0,0.0,0,0,0,0,0,1,Birmingham,England
33,33,100,4,1,2.0,1.0,0.0,0,1,0,1,0,1,Birmingham,England
34,34,67,2,1,1.0,1.0,0.0,5,1,1,1,0,1,Birmingham,England
35,35,58,4,1,2.0,1.0,0.0,0,1,0,1,1,1,Birmingham,England
36,36,79,4,2,2.0,1.0,0.0,0,1,1,1,0,0,Birmingham,England
37,37,85,3,2,2.0,1.0,0.0,0,1,1,1,0,1,Birmingham,England
38,38,46,2,1,1.0,1.5,0.0,0,1,1,1,0,1,Birmingham,England
39,39,43,3,1,1.0,1.0,0.0,0,0,1,1,1,1,Birmingham,England
40,40,112,4,2,2.0,2.0,4.81,0,1,0,0,0,1,Birmingham,England
41,41,97,2,1,1.0,1.0,0.0,297,1,0,0,1,1,Birmingham,England
42,42,53,2,1,1.0,1.0,0.0,0,1,0,0,0,1,Birmingham,England
43,43,61,2,1,1.0,1.0,0.0,0,0,0,0,0,1,Birmingham,England
44,44,77,4,1,2.0,1.0,0.0,224,1,0,1,0,1,Birmingham,England
45,45,99,2,1,2.0,1.0,0.0,246,1,0,1,0,1,Birmingham,England
46,46,92,4,1,1.0,1.0,0.0,283,1,0,0,1,1,Birmingham,England
47,47,58,3,1,2.0,1.0,0.0,80,1,1,1,0,1,Birmingham,England
48,48,69,3,1,2.0,1.0,0.0,245,1,0,0,0,1,Birmingham,England
49,49,70,4,1,2.0,1.0,0.0,20,1,0,1,0,1,Birmingham,England
50,50,63,4,1,1.0,1.0,0.0,0,1,0,0,1,1,Birmingham,England
51,51,88,4,1,2.0,1.0,5.0,168,1,0,0,0,1,Birmingham,England
52,52,70,3,1,2.0,1.0,0.0,50,1,0,1,0,1,Birmingham,England
53,53,69,3,1,1.0,1.0,0.0,113,1,0,0,0,1,Birmingham,England
54,54,73,4,1,2.0,1.0,0.0,262,0,1,0,0,1,Birmingham,England
55,55,47,2,1,1.0,1.0,0.0,0,0,0,1,1,1,Birmingham,England
56,56,119,3,1,2.0,1.0,0.0,344,1,0,0,1,1,Birmingham,England
57,57,58,4,1,2.0,1.0,0.0,40,1,0,0,0,1,Birmingham,England
58,58,84,2,1,1.0,1.0,0.0,265,1,0,0,0,1,Birmingham,England
59,59,81,3,1,2.0,1.0,0.0,48,1,0,1,0,1,Birmingham,England
60,60,80,2,2,2.0,1.0,4.81,3,0,1,1,0,1,Birmingham,England
61,61,145,3,1,1.0,1.0,0.0,0,0,0,1,0,1,Birmingham,England
62,62,58,4,1,2.0,1.0,0.0,40,0,0,1,0,1,Birmingham,England
63,63,145,6,2,2.0,2.0,0.0,0,0,1,1,0,1,Birmingham,England
64,64,82,2,1,1.0,1.0,0.0,0,0,1,1,0,1,Birmingham,England
