,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,elevator,freeparking,kitchen,petsallowed,wifi,city,country
0,0,44,2,1,1.0,1.0,4.81,180,0,0,0,1,0,1,dubai,UnitedArabEmirates
1,1,56,4,1,2.0,2.5,0.0,0,0,0,0,0,0,1,dubai,UnitedArabEmirates
2,2,94,6,1,3.0,1.0,4.95,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
3,3,56,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
4,4,60,4,1,1.0,1.0,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
5,5,58,3,1,1.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
6,6,48,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
7,7,52,4,1,2.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
8,8,71,3,1,2.0,2.5,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
9,9,62,2,1,1.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
10,10,55,3,1,2.0,1.0,5.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
11,11,59,3,2,2.0,1.0,0.0,4,0,0,1,1,0,1,dubai,UnitedArabEmirates
12,12,70,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
13,13,60,4,1,2.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
14,14,61,2,1,1.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
15,15,48,2,1,1.0,1.0,4.77,0,0,0,0,0,0,1,dubai,UnitedArabEmirates
16,16,62,2,1,2.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
17,17,64,4,1,2.0,1.0,4.22,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
18,18,54,3,1,2.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
19,19,57,3,1,2.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
20,20,75,4,1,1.0,1.0,4.81,76,1,0,0,1,0,1,dubai,UnitedArabEmirates
21,21,105,4,1,2.0,1.0,0.0,238,1,0,0,1,0,1,dubai,UnitedArabEmirates
22,22,103,2,1,2.0,1.0,4.95,626,1,0,0,0,1,1,dubai,UnitedArabEmirates
23,23,115,3,1,2.0,1.0,0.0,129,1,1,0,0,0,1,dubai,UnitedArabEmirates
24,24,80,4,2,3.0,1.0,0.0,97,1,0,0,1,0,1,dubai,UnitedArabEmirates
25,25,77,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
26,26,71,5,1,2.0,1.0,0.0,29,0,0,0,1,0,1,dubai,UnitedArabEmirates
27,27,60,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,dubai,UnitedArabEmirates
28,28,68,4,1,1.0,1.0,0.0,57,1,0,1,1,0,1,dubai,UnitedArabEmirates
29,29,58,2,1,1.0,1.0,0.0,85,1,0,0,1,0,1,dubai,UnitedArabEmirates
30,30,120,4,1,1.0,1.0,5.0,0,1,0,0,0,0,1,dubai,UnitedArabEmirates
31,31,145,6,2,2.0,2.0,0.0,0,1,0,0,0,0,1,dubai,UnitedArabEmirates
32,32,80,4,1,4.0,1.0,0.0,200,1,0,0,1,0,1,dubai,UnitedArabEmirates
33,33,82,3,1,1.0,1.0,0.0,259,1,0,0,1,0,1,dubai,UnitedArabEmirates
34,34,139,4,1,2.0,1.0,0.0,53,0,1,0,0,0,1,dubai,UnitedArabEmirates
35,35,77,2,1,1.0,1.0,4.77,233,1,0,0,1,0,1,dubai,UnitedArabEmirates
36,36,87,4,2,2.0,1.0,0.0,0,1,0,0,1,0,1,dubai,UnitedArabEmirates
37,37,102,4,1,1.0,1.0,4.22,85,1,0,0,1,0,1,dubai,UnitedArabEmirates
38,38,94,2,1,1.0,1.0,0.0,304,1,0,0,0,0,1,dubai,UnitedArabEmirates
39,39,72,2,1,2.0,1.0,0.0,37,0,0,0,1,0,1,dubai,UnitedArabEmirates
40,40,95,2,1,1.0,1.0,4.81,17,1,0,0,0,1,1,dubai,UnitedArabEmirates
41,41,74,2,1,1.0,1.0,0.0,3,1,0,1,0,0,1,dubai,UnitedArabEmirates
42,42,77,4,1,2.0,1.0,4.95,224,1,0,0,1,0,1,dubai,UnitedArabEmirates
43,43,48,2,1,1.0,1.0,0.0,130,1,0,0,0,1,1,dubai,UnitedArabEmirates
44,44,95,2,1,1.0,1.0,0.0,13,1,0,0,0,1,1,dubai,UnitedArabEmirates
45,45,85,2,1,1.0,1.0,0.0,362,1,0,0,0,1,1,dubai,UnitedArabEmirates
46,46,115,2,1,1.0,1.0,0.0,0,1,0,0,1,0,1,dubai,UnitedArabEmirates
47,47,115,3,1,2.0,1.0,0.0,129,1,1,0,0,0,1,dubai,UnitedArabEmirates
48,48,35,2,1,1.0,1.0,0.0,201,1,0,1,1,0,1,dubai,UnitedArabEmirates
49,49,115,2,1,0.0,1.0,0.0,0,1,0,0,0,1,1,dubai,UnitedArabEmirates
50,50,75,2,1,1.0,1.0,5.0,4,0,1,0,0,0,1,dubai,UnitedArabEmirates
51,51,116,3,1,2.0,1.0,0.0,131,1,1,0,0,0,1,dubai,UnitedArabEmirates
52,52,113,3,1,2.0,1.0,0.0,63,1,0,0,0,0,1,dubai,UnitedArabEmirates
53,53,140,2,1,1.0,1.0,0.0,0,1,0,0,0,0,1,dubai,UnitedArabEmirates
54,54,100,4,1,2.0,1.0,0.0,0,1,0,0,0,0,1,dubai,UnitedArabEmirates
55,55,95,2,1,1.0,1.0,4.77,87,1,0,0,1,0,1,dubai,UnitedArabEmirates
56,56,83,4,1,2.0,1.0,0.0,25,1,1,0,0,0,1,dubai,UnitedArabEmirates
57,57,145,6,2,2.0,2.0,4.22,0,1,0,0,0,0,1,dubai,UnitedArabEmirates
58,58,70,2,1,2.0,1.0,0.0,0,1,0,0,1,0,1,dubai,UnitedArabEmirates
59,59,103,2,1,2.0,1.0,0.0,626,1,0,0,0,1,1,dubai,UnitedArabEmirates
60,60,60,2,1,1.0,1.0,4.81,0,1,0,0,0,1,1,dubai,UnitedArabEmirates
61,61,128,2,1,1.0,1.0,0.0,715,0,0,0,0,0,1,dubai,UnitedArabEmirates
62,62,52,2,1,1.0,1.0,4.95,117,0,0,0,1,0,1,dubai,UnitedArabEmirates
63,63,188,4,1,2.0,1.0,0.0,88,1,0,0,0,0,1,dubai,UnitedArabEmirates
64,64,39,2,1,1.0,1.0,0.0,189,1,0,0,0,0,1,dubai,UnitedArabEmirates
65,65,80,2,2,2.0,1.0,0.0,3,1,0,0,1,0,1,dubai,UnitedArabEmirates
