,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,elevator,freeparking,kitchen,petsallowed,wifi,city,country
0,0,56,4,1,2.0,2.5,4.81,0,1,0,0,0,1,1,hongkong,china
1,1,44,2,1,1.0,1.0,0.0,180,1,0,0,1,0,1,hongkong,china
2,2,52,4,1,2.0,1.0,0.0,0,1,0,0,1,1,1,hongkong,china
3,3,58,3,1,1.0,1.0,0.0,0,1,1,0,0,1,1,hongkong,china
4,4,60,4,1,1.0,1.0,0.0,0,0,0,0,1,0,1,hongkong,china
5,5,70,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,hongkong,china
6,6,59,3,2,2.0,1.0,0.0,4,1,0,0,1,1,1,hongkong,china
7,7,45,2,1,1.0,1.0,0.0,39,1,0,0,1,0,1,hongkong,china
8,8,62,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,hongkong,china
9,9,60,3,1,2.0,1.0,0.0,58,1,0,0,0,0,1,hongkong,china
10,10,35,2,1,1.0,1.0,0.0,23,1,0,0,1,0,1,hongkong,china
11,11,111,2,1,1.0,1.0,5.0,0,1,1,0,0,1,1,hongkong,china
12,12,55,3,1,2.0,1.0,0.0,0,1,0,0,1,1,1,hongkong,china
13,13,60,4,1,2.0,1.0,0.0,0,1,0,0,1,1,1,hongkong,china
14,14,48,2,1,1.0,1.0,0.0,0,1,0,0,1,0,1,hongkong,china
15,15,62,2,1,2.0,1.0,0.0,0,0,0,0,0,1,1,hongkong,china
16,16,48,2,1,0.0,1.0,0.0,0,1,0,0,0,0,1,hongkong,china
17,17,61,2,1,1.0,1.0,0.0,0,0,1,0,0,0,1,hongkong,china
18,18,48,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,hongkong,china
19,19,119,4,1,1.0,1.0,0.0,0,1,0,0,1,0,1,hongkong,china
20,20,48,2,1,0.0,1.0,4.81,0,0,0,0,0,0,1,hongkong,china
21,21,67,2,1,1.0,1.0,0.0,6,0,0,1,1,0,1,hongkong,china
22,22,40,2,1,1.0,2.0,0.0,346,0,0,1,1,0,1,hongkong,china
23,23,37,2,1,1.0,1.0,0.0,4,0,0,1,0,0,1,hongkong,china
24,24,39,2,1,1.0,1.0,0.0,189,0,0,1,1,0,1,hongkong,china
25,25,35,2,1,1.0,1.0,0.0,7,0,0,1,1,0,1,hongkong,china
26,26,35,2,1,2.0,2.0,0.0,0,0,0,0,1,0,1,hongkong,china
27,27,74,4,1,2.0,1.0,0.0,0,0,0,0,1,0,1,hongkong,china
28,28,115,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,hongkong,china
29,29,80,3,1,1.0,1.5,0.0,0,0,0,1,1,0,1,hongkong,china
30,30,58,4,1,2.0,1.0,0.0,0,0,0,0,1,0,1,hongkong,china
31,31,35,2,1,1.0,1.0,5.0,23,0,0,0,1,0,1,hongkong,china
32,32,50,2,1,1.0,1.0,0.0,7,0,0,0,0,0,1,hongkong,china
33,33,52,2,1,1.0,1.0,0.0,36,0,0,0,1,0,1,hongkong,china
34,34,41,2,1,1.0,3.0,0.0,276,0,0,1,1,0,1,hongkong,china
35,35,46,2,1,1.0,1.5,0.0,0,0,0,1,1,0,1,hongkong,china
