,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
0,0,44,2,1,1.0,1.0,4.81,180,1,0,1,0,1,London,England
1,1,116,4,1,2.0,1.0,0.0,41,1,0,1,0,1,London,England
2,2,62,2,1,1.0,1.0,0.0,0,1,0,1,1,1,London,England
3,3,119,3,1,2.0,1.0,0.0,344,1,1,1,0,1,London,England
4,4,58,3,1,1.0,1.0,0.0,0,1,0,1,1,1,London,England
5,5,111,2,1,1.0,1.0,0.0,0,1,0,1,0,1,London,England
6,6,70,2,1,1.0,1.0,0.0,0,1,1,1,0,1,London,England
7,7,60,4,1,1.0,1.0,0.0,0,0,1,1,0,1,London,England
8,8,97,2,1,1.0,1.0,0.0,0,0,1,1,0,1,London,England
9,9,119,4,1,1.0,1.0,0.0,0,1,1,1,0,1,London,England
10,10,52,4,1,2.0,1.0,0.0,0,1,0,1,1,1,London,England
11,11,60,2,1,1.0,1.0,5.0,0,1,0,1,0,1,London,England
12,12,60,3,1,2.0,1.0,0.0,58,1,0,0,0,1,London,England
13,13,50,2,1,1.0,1.0,0.0,4,0,0,0,0,1,London,England
14,14,62,2,1,2.0,1.0,0.0,0,0,0,1,1,1,London,England
15,15,43,3,1,1.0,1.0,0.0,0,0,1,1,1,1,London,England
16,16,57,3,1,2.0,1.0,0.0,0,1,0,1,1,1,London,England
17,17,48,2,1,1.0,1.0,0.0,0,1,1,1,0,1,London,England
18,18,56,4,1,2.0,2.5,0.0,0,1,0,0,1,1,London,England
19,19,54,3,1,2.0,1.0,0.0,0,1,0,1,1,1,London,England
20,20,58,4,1,2.0,1.0,4.81,0,1,0,1,1,1,London,England
21,21,35,2,1,2.0,2.0,0.0,0,0,0,1,0,1,London,England
22,22,35,2,1,1.0,1.0,0.0,23,1,0,1,0,1,London,England
23,23,69,2,1,1.0,1.0,0.0,229,1,0,0,0,1,London,England
24,24,39,2,1,1.0,1.0,0.0,189,1,0,0,0,1,London,England
25,25,74,4,1,2.0,1.0,0.0,0,1,0,1,1,1,London,England
26,26,69,2,1,1.0,1.0,0.0,334,1,0,1,0,1,London,England
27,27,58,4,1,2.0,1.0,0.0,0,1,0,1,1,1,London,England
28,28,65,2,1,1.0,1.0,0.0,208,0,1,1,0,1,London,England
29,29,58,3,1,2.0,1.0,0.0,80,1,1,1,0,1,London,England
30,30,40,2,1,1.0,2.0,0.0,346,1,0,1,0,1,London,England
31,31,85,2,1,1.0,1.0,5.0,113,1,0,1,0,1,London,England
32,32,47,2,1,1.0,1.0,0.0,0,0,0,1,1,1,London,England
33,33,175,4,1,2.0,1.0,0.0,0,0,0,0,1,1,London,England
34,34,55,2,1,1.0,1.0,0.0,50,1,0,0,1,1,London,England
35,35,65,2,1,1.0,1.0,0.0,49,0,0,0,0,1,London,England
36,36,48,2,1,1.0,1.0,0.0,130,1,0,0,1,1,London,England
37,37,75,4,1,2.0,1.0,0.0,0,1,0,1,1,1,London,England
38,38,46,2,1,1.0,1.5,0.0,0,1,0,1,0,1,London,England
39,39,125,4,1,1.0,1.0,0.0,61,0,0,1,0,1,London,England
40,40,80,3,1,1.0,1.5,4.81,0,1,1,1,0,1,London,England
41,41,188,4,1,2.0,1.0,0.0,88,1,1,1,0,1,London,England
42,42,37,2,1,1.0,1.0,0.0,4,1,1,0,0,1,London,England
43,43,50,2,1,1.0,1.0,0.0,217,1,0,0,0,1,London,England
44,44,15,4,1,2.0,1.0,0.0,5,1,0,1,0,1,London,England
45,45,67,2,1,1.0,1.0,0.0,5,1,1,1,0,1,London,England
46,46,82,2,1,1.0,1.0,0.0,0,1,1,1,0,1,London,England
47,47,99,2,1,1.0,1.0,0.0,0,1,0,1,0,1,London,England
