,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
0,0,44,2,1,1.0,1,4.81,180,0,0,1,0,1,newyork,US
1,1,116,4,1,2.0,1,0.0,41,0,1,1,0,1,newyork,US
2,2,62,2,1,1.0,1,0.0,0,0,0,1,0,1,newyork,US
3,3,119,3,1,2.0,1,0.0,344,0,1,1,0,1,newyork,US
4,4,58,3,1,1.0,1,0.0,0,0,0,1,0,1,newyork,US
5,5,111,2,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
6,6,70,2,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
7,7,60,4,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
8,8,97,2,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
9,9,119,4,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
10,10,52,4,1,2.0,1,0.0,0,0,0,1,0,1,newyork,US
11,11,60,2,1,1.0,1,5.0,0,0,0,1,0,1,newyork,US
12,12,60,3,1,2.0,1,0.0,58,0,0,0,0,1,newyork,US
13,13,50,2,1,1.0,1,0.0,4,0,0,0,0,1,newyork,US
14,14,62,2,1,2.0,1,0.0,0,0,0,1,0,1,newyork,US
15,15,43,3,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
16,16,57,3,1,2.0,1,0.0,0,0,0,1,0,1,newyork,US
17,17,48,2,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
18,18,56,4,1,2.0,2.5,0.0,0,0,0,0,0,1,newyork,US
19,19,54,3,1,2.0,1,0.0,0,0,0,1,0,1,newyork,US
20,20,90,2,1,1.0,Half-bath,4.81,0,0,0,1,0,1,newyork,US
21,21,105,4,2,2.0,2,0.0,22,0,1,1,0,1,newyork,US
22,22,58,3,1,2.0,1,0.0,80,0,1,1,0,1,newyork,US
23,23,99,2,1,1.0,1,0.0,0,0,0,1,0,1,newyork,US
24,24,69,5,1,1.0,1,0.0,4,0,1,1,0,1,newyork,US
25,25,69,2,1,1.0,1,0.0,229,0,1,1,0,1,newyork,US
26,26,115,3,1,2.0,1,0.0,195,0,1,1,0,1,newyork,US
27,27,114,3,1,2.0,1,0.0,60,0,1,1,0,1,newyork,US
28,28,90,4,2,1.0,2,0.0,0,0,0,1,0,0,newyork,US
29,29,74,4,1,2.0,1,0.0,0,0,0,1,0,1,newyork,US
30,30,80,3,1,1.0,1.5,0.0,0,0,1,1,0,1,newyork,US
31,31,58,4,1,2.0,1,5.0,0,0,0,1,0,1,newyork,US
32,32,58,4,1,2.0,1,0.0,0,0,0,1,0,1,newyork,US
33,33,73,3,1,0.0,1,0.0,0,0,0,1,0,1,newyork,US
34,34,130,2,1,1.0,1,0.0,139,0,1,1,0,1,newyork,US
35,35,118,2,1,1.0,1,0.0,25,0,0,1,0,1,newyork,US
36,36,118,3,1,1.0,1,0.0,370,0,1,1,0,1,newyork,US
37,37,76,2,1,1.0,1,0.0,337,0,0,1,0,1,newyork,US
38,38,75,4,1,2.0,1,0.0,0,0,0,1,0,1,newyork,US
39,39,144,4,1,0.0,1,0.0,4,0,1,1,0,1,newyork,US
40,40,65,2,1,1.0,1,4.81,49,0,0,0,0,1,newyork,US
41,41,50,2,1,1.0,1,0.0,253,0,1,0,0,1,newyork,US
42,42,28,4,2,2.0,1,0.0,0,0,0,0,0,0,newyork,US
43,43,33,2,1,1.0,1,0.0,0,0,0,0,0,1,newyork,US
44,44,50,2,1,1.0,1,0.0,217,0,0,0,0,1,newyork,US
45,45,89,4,1,2.0,1,0.0,149,0,1,1,0,1,newyork,US
46,46,188,4,1,2.0,1,0.0,88,0,1,1,0,1,newyork,US
47,47,15,4,1,2.0,1,0.0,5,0,0,1,0,1,newyork,US
48,48,47,2,1,1.0,1,0.0,0,0,1,1,0,1,newyork,US
49,49,45,2,1,1.0,1,0.0,458,0,1,0,0,1,newyork,US
