,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,elevator,freeparking,kitchen,petsallowed,wifi,city,country
0,0,56,4,1,2.0,2.5,4.81,0,1,0,0,0,1,1,Pairs,France
1,1,94,6,1,3.0,1.0,0.0,0,1,0,0,0,0,1,Pairs,France
2,2,60,4,1,1.0,1.0,0.0,0,0,0,0,1,0,1,Pairs,France
3,3,56,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,Pairs,France
4,4,58,3,1,1.0,1.0,0.0,0,1,1,0,0,1,1,Pairs,France
5,5,48,2,1,1.0,1.0,0.0,0,1,0,0,1,0,1,Pairs,France
6,6,44,2,1,1.0,1.0,0.0,180,1,0,0,1,0,1,Pairs,France
7,7,52,4,1,2.0,1.0,0.0,0,1,0,0,1,1,1,Pairs,France
8,8,71,3,1,2.0,2.5,0.0,0,1,0,0,0,0,1,Pairs,France
9,9,62,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,Pairs,France
10,10,55,3,1,2.0,1.0,0.0,0,1,0,0,1,1,1,Pairs,France
11,11,59,3,2,2.0,1.0,5.0,4,1,0,0,1,1,1,Pairs,France
12,12,70,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,Pairs,France
13,13,60,4,1,2.0,1.0,0.0,0,1,0,0,1,1,1,Pairs,France
14,14,61,2,1,1.0,1.0,0.0,0,0,1,0,0,0,1,Pairs,France
15,15,48,2,1,1.0,1.0,0.0,0,1,0,0,0,1,1,Pairs,France
16,16,62,2,1,2.0,1.0,0.0,0,0,0,0,0,1,1,Pairs,France
17,17,64,4,1,2.0,1.0,0.0,0,1,0,0,1,1,1,Pairs,France
18,18,54,3,1,2.0,1.0,0.0,0,1,1,0,0,1,1,Pairs,France
19,19,57,3,1,2.0,1.0,0.0,0,1,0,0,1,1,1,Pairs,France
20,20,58,4,1,2.0,1.0,4.81,0,1,0,0,1,1,1,Pairs,France
21,21,35,2,1,2.0,2.0,0.0,0,0,0,0,1,0,1,Pairs,France
